concept,source_code,primary_output,output_exists,notes
spectral partition construction,Experiment/run_3032_transfer_operator_metastability.py:371,Output/3032/tables/spectral_cell_mapping.csv,True,
frame spectral labels,Experiment/run_3032b_state_meaning_residence_audit.py:772,Output/3032b/processed/frame_spectral_labels.csv,True,
state labels consumed by layer analysis,Experiment/run_3041_anisotropic_layer_residence.py:32,Output/3041/processed/frame_layer_metrics.csv,True,
macrostate candidates consumed by 3045,Experiment/run_3041b_coarse_graining_closure_audit.py:826,Output/3041b/processed/frame_macrostate_candidates.csv,True,
transition events,Experiment/run_3045_residual_event_trigger_search.py:212,Output/3045/tables/transition_events.csv,True,
local affine T1 calculation,Experiment/run_4081_global_vs_local_geometry_ladder.py:172,Output/4081c/full_geometry_ladder_rows.csv,True,
all-observation T1 survival,Experiment/run_4081c_full_observation_adjudication.py:223,Output/4081c/decision.json,True,
scale/lag robustness,Experiment/run_4082_scale_robustness_on_surviving_observation_class.py:287,Output/4082/decision.json,True,
diffuse/spatial phenotype,Experiment/run_4084_spatial_taxonomy_of_t1_local_nonaffine_signal.py:53,Output/4084/decision.json,True,
event phase profile,Experiment/run_4085_event_phase_profile_of_t1_signal.py:56,Output/4085/decision.json,True,
state-matched event locality,Experiment/run_4100_state_matched_event_locality_challenge.py:785,Output/4100/decision.json,True,
history matched test,Experiment/run_4121_same_current_state_different_history.py:129,Output/4121/decision.json,True,
paper figures,Experiment/run_4134_figure_ready_evidence_panels.py:244,Output/4134,True,
