node,question,target,data_scope,baseline,null,primary_metric,gate,result,claim_class,robustness,supported_claim,unsupported_claim,next_route_meaning,main_artifact,figure_candidate,source_provenance,decision_exists,summary_exists
4001,Does the velocity event signal survive a global affine geometric baseline?,3045c velocity event signal,all_19_observations,per-frame translation plus affine deformation,circularly shifted event times,4/4 raw direction survivors retained in affine_resid; median affine_resid/raw abs ratio 0.9554,affine_resid_direction_survivors retained beyond shifted-event null,support_extra_affine_residual_velocity_coordination,SUPPORTED_WITH_BOUNDARY,"summary_only provenance; 19 observations, 1471 events",Velocity event signal is not fully explained by whole-swarm affine geometry.,"local T1 mechanism, causal coordination law, or individual interaction mechanism",opens local/non-affine residual route,Output/4001/4001_summary.md,yes,summary_only,False,True
4080,Can local affine residualization be computed for the dataset?,local tangential non-affine residual candidate,all_19_observations,local affine fit,technical feasibility/QC,decision.json gate result,local affine computation feasible,technical local-affine feasibility,TECHNICAL_PASS,technical gate,Local affine subtraction is technically available for downstream tests.,T1 biological mechanism,enter 4081/4081c survival tests,Output/4080/4080_summary.md,supplement,decision_json,True,True
4081,"In the Ob1 pilot, does the local affine geometry ladder preserve or absorb the candidate T1 signal?",local tangential non-affine residual pilot,Ob1 pilot,global-vs-local geometry ladder,pilot gate only,t1_local_gate_any false in Ob1 pilot,pilot local geometry survival,boundary_t1_absorbed_or_not_event_conditioned,BOUNDARY,single-observation pilot; superseded by 4081c all-19 adjudication,Ob1 is a boundary case in the local-affine ladder.,all observations absorb T1 under local affine subtraction,requires all-19 adjudication before route decision,Output/4081/decision.json,supplement,decision_json,True,True
4081c,"Across all 19 observations, does T1 survive local affine subtraction?",T1 local tangential non-affine residual,all_19_observations,local affine residualization at original k values,event-conditioned local-affine comparison gates,15/19 pass at least one k; 14/19 pass both original k,observation-level survival class,support_observation_heterogeneous_but_common_t1_survival,SUPPORTED_WITH_BOUNDARY,explicit failures Ob1/Ob3/Ob6/Ob8,T1 survival is common across observations but not universal.,universal all-observation law,test robustness on survivor class,Output/4081c/4081c_summary.md,yes,decision_json,True,True
4081d,Can the all-19 local-affine survival pattern be summarized as common T1 survival with an early-observation boundary?,observation-level T1 survival heterogeneity,all_19_observations,4081c all-19 adjudication,rough failure-concentration and feature contrasts,15/19 survive any k; 14/19 survive both k; failures Ob1/Ob3/Ob6/Ob8,heterogeneity interpretation before robustness,support_common_t1_survival_with_early_observation_boundary,SUPPORTED_WITH_BOUNDARY,early-observation proxy remains unconfirmed,"T1 survival is common, with explicit observation heterogeneity.",confirmed recording-order artifact or universal all-observation survival,enter 4082 and 4082b,Output/4081d/decision.json,supplement,decision_json,True,True
4082,Is T1 survival robust to nearby local scale and lag choices?,4081c T1 survivor observations,15 survivor observations,nearby k and lag grid,predefined scale/timing robustness gate,14/15 robust scale and timing; median pass fractions 1.0,scale and lag robustness in survivor class,support_scale_timing_robust_t1_survival_with_boundary_cases,SUPPORTED_WITH_BOUNDARY,survivor-class robustness; not all-19 primary,"Within the survivor class, T1 is robust to nearby k and lag choices.",survivor-only universal statement,audit failure boundary,Output/4082/4082_summary.md,yes,decision_json,True,True
4082b,Are early failures explained by simple quality or event-count covariates?,4081c failure/boundary observations,failure/boundary observations plus available covariates,raw quality/event-count checks,descriptive artifact audit,no strong raw-quality or event-structure explanation,artifact explanation sufficient or not,boundary_early_failure_not_explained_by_basic_quality_or_event_counts,BOUNDARY,basic covariates only,The failure boundary is not explained by the audited simple quality/event covariates.,confirmed batch effect or confirmed biological regime,keep explicit failure boundary,Output/4082b/4082b_summary.md,supplement,decision_json,True,True
4083,Should the route jump to 409x/410x or deepen 408x after initial synthesis?,408x route state,4081c/4082 evidence,route reset and bounded synthesis,not a mechanism test,bounded 408x claim retained; unresolved spatial/timing/signed questions,route reset,continue_deeper_408x_not_409x_410x_yet,BOUNDARY,planning/synthesis node,"408x needed spatial, timing, signed, and failure-boundary characterization before 409x/410x.",408x was complete before spatial/timing characterization,enter 4084,Output/4083/decision.json,no,decision_json,True,True
4084,Where spatially does the T1 local non-affine signal live?,T1 spatial decomposition,14 robust survivor observations,spatial shell/density decompositions,replicated variable gate,all_tangential passes 13/14; shell_edge_minus_core passes 9/14,majority replicated spatial candidate,support_replicated_edge_core_spatial_contrast_with_boundaries,SUPPORTED_WITH_BOUNDARY,diffuse signal stronger than direct edge/core contrast,Diffuse tangential activity is strongest; edge/core contrast is bounded and secondary.,stable edge trigger or full spatial taxonomy,ask timing of spatial signal,Output/4084/4084_summary.md,yes,decision_json,True,True
4085,When does the T1 spatial/tangential signal appear around transitions?,T1 event-phase profile,robust survivor observations,phase windows around transitions,phase-profile gate,diffuse all_tangential near-pre majority; edge/core lacks stable majority phase,phase majority and robustness,boundary_edge_core_no_stable_phase_but_diffuse_t1_has_phase_profile,SUPPORTED_WITH_BOUNDARY,timing clearer for diffuse activity than edge/core contrast,The clearest timing view is diffuse near-pre local tangential non-affinity.,single edge/core phase-localized trigger,test signed transition direction heterogeneity,Output/4085/4085_summary.md,yes,decision_json,True,True
