figure_id,panel_id,figure_role,question,source_node,source_artifact,source_status,sample_scope,primary_metric_or_content,baseline_or_null,allowed_claim,boundary_guard,processing_needed,final_panel_package_artifact
Figure 1,1A,main_candidate,What data are being reduced?,raw data / 4133,Output/4133/raw_metadata_by_ob.csv,needs_assembly,representative raw snapshot from Ob2; all-19 metadata context,3D positions from one frame; dataset metadata from raw columns 0 and 4,none; descriptive data orientation,The dataset consists of 3D individual trajectories in laboratory midge swarms.,"Do not infer mechanism, interaction, or recording-condition causality from the snapshot.",Select one representative 3D trajectory snapshot and label it as data orientation only.,Output/4134/figures/4134_figure1_data_t1_definition.png
Figure 1,1B,main_candidate,What is removed by global/local affine reduction?,4130,Output/4130/definition_dictionary.csv,concept_panel_to_build,definition-level concept panel,global affine / local affine / residual separation,"definition schematic, no fitted mechanism",T1 is interpreted only after defined affine components are subtracted.,Do not present the schematic as a fitted physical model.,"Draw a compact schematic distinguishing global affine, local affine, and residual components.",Output/4134/figures/4134_figure1_data_t1_definition.png
Figure 1,1C,main_candidate,What is the frozen T1 observable?,4130 / 4088,Output/4130/definition_dictionary.csv,concept_panel_to_build,definition-level concept panel,T1 frozen definition,"definition schematic, no fitted mechanism",T1 is the transition-linked local tangential non-affine residual used in 413x.,Do not rename or redefine the target in 4134.,Convert the frozen T1 definition into a visual equation/flow panel.,Output/4134/figures/4134_figure1_data_t1_definition.png
Figure 1,1D,main_candidate,How does the event-conditioned time profile look?,4131,Output/4131/positive_phenomenon_atlas.csv,needs_assembly,4085 aggregate event-aligned profile; 14 tested observations,median real-minus-null aligned z for all_tangential,4085 event-aligned null profile,"The time trace illustrates the measurement pipeline, not a universal temporal law.",Avoid choosing an example that hides failure observations.,"Build one example trace with clear labels: event, pre window, matched control/null.",Output/4134/figures/4134_figure1_data_t1_definition.png
Figure 2,2A,main_candidate,Does T1 survive local affine subtraction across all observations?,4131 / 4133,Output/4131/observation_positive_coverage_matrix.csv,needs_assembly,all 19 observations,408x_T1_effect and local-affine survival flags,local affine residualization and event/non-event comparison,T1 survival is common in most observations.,Do not write universal survival or omit stable failures.,"Render an all-19 forest/strip panel with Ob1, Ob3, Ob6, and Ob8 retained.",Output/4134/figures/4134_figure2_t1_survival_across_observations.png
Figure 2,2B,main_candidate,Is the survivor class stable to nearby scale and lag choices?,4131,Output/4131/figures/4131_observation_coverage_matrix.png,ready_source,all 19 observations plus survivor-class robustness,"T1 any-k, both-k, scale/lag, diffuse, history flags",nearby k and lag sensitivity within all-19 context,Scale/lag robustness is high inside the survivor class.,Do not generalize survivor-only robustness to all 19 observations.,"Reuse or redraw as a publication heatmap, preserving all-19 context.",Output/4134/figures/4134_figure2_t1_survival_across_observations.png
Figure 2,2C,main_candidate,"Which observations are robust, fragile, or failures?",4133,Output/4133/observation_classes.csv,needs_assembly,all 19 observations,observation_class counts,predefined observation classes from 4133,The positive result has explicit observation-level boundaries.,Do not treat failure classes as artifacts unless independently verified.,Draw the observation class strip beside the all-19 evidence panel.,Output/4134/figures/4134_figure2_t1_survival_across_observations.png
Figure 3,3A,main_candidate,What spatial/activity form is most stable?,4131,Output/4131/figures/4131_spatial_phase_positive_summary.png,ready_source,4131 positive atlas; node-specific denominators,positive support fractions from 4131,node-specific event/control or survivor-subset gates,Diffuse tangential activity is the strongest repeated form.,Do not write edge/core contrast as a universal trigger.,Show all_tangential support beside edge-core support.,Output/4134/figures/4134_figure3_spatial_timing_structure.png
Figure 3,3B,main_candidate,Is near-pre timing stable?,4131,Output/4131/figures/4131_spatial_phase_positive_summary.png,ready_source,4085 aggregate profiles; 14 tested observations,event-aligned real-minus-null profile,4085 aggregate event-aligned null,Near-pre timing appears in part of the tested survivor subset.,Do not write a sharp universal precursor.,"Include near-pre as moderate timing evidence, not as the central claim.",Output/4134/figures/4134_figure3_spatial_timing_structure.png
Figure 3,3C,supplement_or_boundary_annotation,Is there a universal signed direction law?,4132 / 4086,Output/4132/negative_boundary_atlas.csv,ready_table_source,4086/4132 signed boundary classes,signed class counts / boundary status,signed event-type decomposition,Signed structure is heterogeneous across observations.,"Do not write universal low-to-high, high-to-low, or mirror law.",Use only as a compact boundary annotation if the main figure has space.,Output/4134/figures/4134_figure3_spatial_timing_structure.png
Figure 4,4A,main_candidate,"Does C,dCdt,R provide a stable low-dimensional moment closure?",4132 / 4090,Output/4132/figures/4132_moment_closure_negative_metrics.png,ready_source,4090 grouped OOS moment-closure metrics; 19 observations,median incremental R2 and real-minus-shift metrics,"radius-only model and shifted C,dCdt null","The tested C,dCdt,R first/second moment closure is not stably supported.",Do not write that stochastic dynamics or all state dependence are impossible.,Use as the first mechanism-boundary panel.,Output/4134/figures/4134_figure4_reduction_boundaries.png
Figure 4,4B,main_candidate,Do true transition timestamps add state-matched near-pre excess?,4132 / 4100,Output/4132/figures/4132_event_locality_negative_metrics.png,ready_source,4100 state-matched event-local effects; 19 observations,median delta A_pre_z by observation,"same-observation C,dCdt,R-matched non-event frames and shifted events",The tested state-matched near-pre event-locality route is not supported.,Do not write that transitions have no special dynamics.,Use as the second mechanism-boundary panel.,Output/4134/figures/4134_figure4_reduction_boundaries.png
Figure 4,4C,main_candidate,Does recent history become a universal rule?,4131 / 4132 / 4121,Output/4131/figures/4131_history_secondary_positive.png,ready_source,4121 same-current-state different-history effects; 19 observations,real-minus-null median abs history effect and sign,same-current-state matching and within-observation shuffled history,Recent path direction separates T1 in some observations but sign/order is not universal.,"Do not write causal memory, hysteresis, or universal history dependence.","Frame as observation-specific history boundary, not as a positive universal mechanism.",Output/4134/figures/4134_figure4_reduction_boundaries.png
Figure 5,5A,main_candidate,How does evidence vary across observations and routes?,4133,Output/4133/figures/4133_observation_route_matrix.png,ready_source,all 19 observations x route flags,direct observation-level evidence flags,route-specific binary gates,Heterogeneity is structured enough to map explicitly.,Do not turn route scores into a predictive classifier.,Use as the anchor heterogeneity panel.,Output/4134/figures/4134_figure5_observation_heterogeneity.png
Figure 5,5B,main_candidate,Are descriptive metadata associations visible?,4133,Output/4133/figures/4133_t1_effect_vs_mean_track_length.png,ready_source,all 19 observations; descriptive metadata association,408x_T1_effect vs mean_track_length_frames,small-n descriptive Spearman / leave-one-observation-out audit,Some small-n descriptive associations are visible and sensitivity-audited.,Do not write causal metadata or recording-condition explanations.,Choose track length or swarm size panel; place the other in supplement if needed.,Output/4134/figures/4134_figure5_observation_heterogeneity.png
