ob,n_events,diffuse_baseline_gate,n_spatial_contrast_gates,best_spatial_variable,best_spatial_family,best_spatial_gap_z,best_level_variable,best_level_family,best_level_gap_z,ob_spatial_class,interpretation
2,43,True,3,shell_edge_minus_core,radial_contrast,0.2815936107348822,density_middle_tangential,density_level,0.3643224442346726,localized_or_gradient_signal_candidate,At least one direct spatial contrast/gradient is event-conditioned in this observation.
5,93,True,5,shell_radius_corr_tangential,radial_gradient,0.4046435719284095,shell_core_tangential,radial_level,0.40956206723778865,localized_or_gradient_signal_candidate,At least one direct spatial contrast/gradient is event-conditioned in this observation.
7,33,False,3,shell_edge_minus_core,radial_contrast,0.4216272056202435,density_sparse_tangential,density_level,0.7294438262001486,no_clear_t1_spatial_signal_in_this_node,The 4084 processing did not reproduce an event-conditioned diffuse or localized signal.
9,36,True,4,shell_radius_corr_tangential,radial_gradient,0.6202769612693295,density_dense_tangential,density_level,0.7754185016412203,localized_or_gradient_signal_candidate,At least one direct spatial contrast/gradient is event-conditioned in this observation.
10,36,True,4,shell_radius_corr_tangential,radial_gradient,0.5862737721754849,shell_core_tangential,radial_level,0.4566359889743381,localized_or_gradient_signal_candidate,At least one direct spatial contrast/gradient is event-conditioned in this observation.
11,119,True,3,shell_middle_minus_core,radial_contrast,0.26263017536847977,shell_core_tangential,radial_level,0.836934308989956,localized_or_gradient_signal_candidate,At least one direct spatial contrast/gradient is event-conditioned in this observation.
12,91,True,1,density_sparse_minus_dense,density_contrast,0.20809879662986921,shell_middle_tangential,radial_level,0.3462650449217069,localized_or_gradient_signal_candidate,At least one direct spatial contrast/gradient is event-conditioned in this observation.
13,102,True,2,shell_radius_corr_tangential,radial_gradient,0.37578801825172026,shell_middle_tangential,radial_level,0.44115815528383223,localized_or_gradient_signal_candidate,At least one direct spatial contrast/gradient is event-conditioned in this observation.
14,47,True,2,density_sparse_minus_dense,density_contrast,0.3751842620513858,shell_core_tangential,radial_level,0.8687183949757569,localized_or_gradient_signal_candidate,At least one direct spatial contrast/gradient is event-conditioned in this observation.
15,96,True,4,shell_edge_minus_core,radial_contrast,0.5317516251129282,shell_core_tangential,radial_level,0.9305203086956526,localized_or_gradient_signal_candidate,At least one direct spatial contrast/gradient is event-conditioned in this observation.
16,84,True,0,shell_middle_minus_core,radial_contrast,-0.11268772090151702,shell_edge_tangential,radial_level,0.8115319805249848,level_specific_but_no_direct_contrast,"Some spatial levels pass, but direct contrast/gradient variables do not pass."
17,122,True,2,density_knn_distance_corr_tangential,density_gradient,0.13136207598459326,shell_core_tangential,radial_level,0.43154457600819895,localized_or_gradient_signal_candidate,At least one direct spatial contrast/gradient is event-conditioned in this observation.
18,103,True,2,density_knn_distance_corr_tangential,density_gradient,0.10788862159508894,shell_core_tangential,radial_level,0.2579668815588106,localized_or_gradient_signal_candidate,At least one direct spatial contrast/gradient is event-conditioned in this observation.
19,143,True,3,shell_radius_corr_tangential,radial_gradient,0.3163830165399776,shell_core_tangential,radial_level,0.6095703092404037,localized_or_gradient_signal_candidate,At least one direct spatial contrast/gradient is event-conditioned in this observation.
