term,canonical_definition,source_node,source_file,unit_of_analysis,aggregation_level,allowed_aliases,incompatible_aliases,notes
T1,transition-linked local tangential non-affine residual after local affine deformation is removed,4088,Output/4088/decision.json,frame/observation depending on downstream node,local focal-neighborhood to swarm/observation aggregate,local non-affine tangential residual; local tangential non-affine activity,raw speed; global affine residual speed; individual causal velocity,"Use as the frozen phenomenon object, not as a unique individual-level force."
A_swarm_tangential_z,swarm-level frame aggregate of focal-centered local non-affine tangential activity from 4100A,4100A,Output/4100A/swarm_activity_frame.csv,frame,swarm aggregate,T1 activity frame aggregate; focal aggregate A_i(t) summarized to swarm frame,raw overlapping neighbor residual vector; unique individual residual velocity,Primary activity column for 4100 and 412x.
all_tangential,diffuse local tangential non-affine activity diagnostic used in 4084/4085 spatial-timing characterization,4084,Output/4084/decision.json,observation/condition,spatially diffuse local activity,diffuse tangential activity,shell_edge_minus_core direct contrast; event-local matched activity,"Use as a spatial/timing diagnostic, not as a separate new target."
shell_edge_minus_core,edge-minus-core direct contrast in local tangential non-affine activity,4084,Output/4084/decision.json,observation/condition,spatial contrast,edge/core contrast,diffuse all_tangential baseline,Secondary bounded spatial contrast; not a universal phase-localized trigger.
C,density_rms_z3045 compact-density state coordinate,4090B/4120,Output/4120/state_path_frame.csv,frame,swarm state,density_rms_z3045,raw density without 3045 normalization,Used in current-state matching and moment closure tests.
dCdt,time gradient of density_rms_smooth3045,4090B/4120,Output/4120/state_path_frame.csv,frame,swarm state velocity,"gradient(density_rms_smooth3045,t)",finite difference of raw noisy C without smoothing,Important leakage control variable for 412x.
R,r_rms_z3045 compact-radius coordinate,4090B/4120,Output/4120/state_path_frame.csv,frame,swarm state,radius; r_rms_z3045 when normalized by 3045 convention,focal_radius in vector-sample 4090 without noting unit change,Used in 4100/412x state matching; 4090 used focal_radius in vector-level samples.
h500_theta_h,"recent C-R path direction over h=0.50 sec, atan2(DeltaR_h, DeltaC_h)",4120,Output/4120/state_path_frame.csv,frame,state-path feature,theta_h at 0.50 sec; recent path direction,theta_v instantaneous direction; turning_proxy,Primary history feature in 4121.
event-local near-pre activity,"near-pre [-0.25,0.00] sec median A_swarm_tangential_z around transition timestamps",4100,Output/4100/decision.json,event,state-matched event/control comparison,event_A_pre_z; A_pre_z,unmatched event average; propagation source signal,Failed to exceed state-matched non-event controls in 4100.
observation-level effect strength,per-observation median or robust summary of node-specific T1 effect,4088/4125,Output/4125/decision.json,observation,observation summary,ob-level effect; dataset-level effect,pooled frame-level significance without observation grouping,Must preserve observation heterogeneity in 413x.
