item,status,path,lineno,line
universal_t1,review,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,42,"Local non-affine survival & 14/19 both-scale and 15/19 any-scale survival; limited-resolution pseudo-event calibration $p=0.0099$ at $B=100$ & T1 is common after local affine subtraction & T1 is universal, causal, or formally calibrated at high $B$ \\"
formal_highB_claim,review,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,42,"Local non-affine survival & 14/19 both-scale and 15/19 any-scale survival; limited-resolution pseudo-event calibration $p=0.0099$ at $B=100$ & T1 is common after local affine subtraction & T1 is universal, causal, or formally calibrated at high $B$ \\"
formal_highB_claim,review,mypaper2/Latex/Part5/05_discussion_limitations_future_v2.tex,25,using it as a formal high-resolution p-value. The detrending challenge showed
preprocessing_invariance,review,mypaper2/Latex/00_abstract.tex,18,"preprocessing-invariant. Within the survivor class, 14 of 15 observations"
preprocessing_invariance,pass_bounded_context,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,43,"Detrending challenge & Centered 14/19, past-only 11/19, no rolling detrending 13/19 & T1 survival is not erased by the challenge & The exact 14/19 count is preprocessing-invariant \\"
no_special_dynamics,pass_bounded_context,mypaper2/Latex/Part4/04_results_failed_reductions_v2.tex,29,have no special dynamics; it means that the tested state-matched near-pre
no_special_dynamics,pass_bounded_context,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,48,Event-locality & Median near-pre event-minus-control effect about $-0.033$ & The tested state-matched near-pre route is not supported & Transitions have no special dynamics \\
stochastic_impossible,pass_bounded_context,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,47,"State moment closure & Median incremental $R^2$ near zero & The tested $(C,\dot{C},R)$ closure is not supported & Stochastic dynamics are impossible \\"
memory_rule,pass_bounded_context,mypaper2/Latex/00_abstract.tex,26,informative in some observations but did not define a universal memory rule.
memory_rule,pass_bounded_context,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,17,"observation-specific way, but it did not define a universal memory rule."
memory_rule,review,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,49,"Recent history & 14/19 above median shuffle, 6/19 above q95 & History effects are observation-specific & A universal memory rule is proven \\"
causal_metadata,pass_bounded_context,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,9,"sensitivity-audited, but it is not a causal recording-condition explanation.}"
