figure_id,panel_id,panel_question,source_node,source_artifact,source_status,recommended_role,4134_action,allowed_claim,boundary_guard
Figure 1,1A,What data are being reduced?,raw data / 4133,Output/4133/raw_metadata_by_ob.csv,needs_assembly,main,Select one representative 3D trajectory snapshot and label it as data orientation only.,The dataset consists of 3D individual trajectories in laboratory midge swarms.,"Do not infer mechanism, interaction, or recording-condition causality from the snapshot."
Figure 1,1B,What is removed by global/local affine reduction?,4130,Output/4130/definition_dictionary.csv,concept_panel_to_build,main,"Draw a compact schematic distinguishing global affine, local affine, and residual components.",T1 is interpreted only after defined affine components are subtracted.,Do not present the schematic as a fitted physical model.
Figure 1,1C,What is the frozen T1 observable?,4130 / 4088,Output/4130/definition_dictionary.csv,concept_panel_to_build,main,Convert the frozen T1 definition into a visual equation/flow panel.,T1 is the transition-linked local tangential non-affine residual used in 413x.,Do not rename or redefine the target in 4134.
Figure 1,1D,How does the event-conditioned time profile look?,4131,Output/4131/positive_phenomenon_atlas.csv,needs_assembly,main,"Build one example trace with clear labels: event, pre window, matched control/null.","The time trace illustrates the measurement pipeline, not a universal temporal law.",Avoid choosing an example that hides failure observations.
Figure 2,2A,Does T1 survive local affine subtraction across all observations?,4131 / 4133,Output/4131/observation_positive_coverage_matrix.csv,needs_assembly,main,"Render an all-19 forest/strip panel with Ob1, Ob3, Ob6, and Ob8 retained.",T1 survival is common in most observations.,Do not write universal survival or omit stable failures.
Figure 2,2B,Is the survivor class stable to nearby scale and lag choices?,4131,Output/4131/figures/4131_observation_coverage_matrix.png,ready_source,main,"Reuse or redraw as a publication heatmap, preserving all-19 context.",Scale/lag robustness is high inside the survivor class.,Do not generalize survivor-only robustness to all 19 observations.
Figure 2,2C,"Which observations are robust, fragile, or failures?",4133,Output/4133/observation_classes.csv,needs_assembly,main,Draw the observation class strip beside the all-19 evidence panel.,The positive result has explicit observation-level boundaries.,Do not treat failure classes as artifacts unless independently verified.
Figure 3,3A,What spatial/activity form is most stable?,4131,Output/4131/figures/4131_spatial_phase_positive_summary.png,ready_source,main,Show all_tangential support beside edge-core support.,Diffuse tangential activity is the strongest repeated form.,Do not write edge/core contrast as a universal trigger.
Figure 3,3B,Is near-pre timing stable?,4131,Output/4131/figures/4131_spatial_phase_positive_summary.png,ready_source,main,"Include near-pre as moderate timing evidence, not as the central claim.",Near-pre timing appears in part of the tested survivor subset.,Do not write a sharp universal precursor.
Figure 3,3C,Is there a universal signed direction law?,4132 / 4086,Output/4132/negative_boundary_atlas.csv,ready_table_source,supplement_or_small_boundary_panel,Use only as a compact boundary annotation if the main figure has space.,Signed structure is heterogeneous across observations.,"Do not write universal low-to-high, high-to-low, or mirror law."
Figure 4,4A,"Does C,dCdt,R provide a stable low-dimensional moment closure?",4132 / 4090,Output/4132/figures/4132_moment_closure_negative_metrics.png,ready_source,main,Use as the first mechanism-boundary panel.,"The tested C,dCdt,R first/second moment closure is not stably supported.",Do not write that stochastic dynamics or all state dependence are impossible.
Figure 4,4B,Do true transition timestamps add state-matched near-pre excess?,4132 / 4100,Output/4132/figures/4132_event_locality_negative_metrics.png,ready_source,main,Use as the second mechanism-boundary panel.,The tested state-matched near-pre event-locality route is not supported.,Do not write that transitions have no special dynamics.
Figure 4,4C,Does recent history become a universal rule?,4131 / 4132 / 4121,Output/4131/figures/4131_history_secondary_positive.png,ready_source,main,"Frame as observation-specific history boundary, not as a positive universal mechanism.",Recent path direction separates T1 in some observations but sign/order is not universal.,"Do not write causal memory, hysteresis, or universal history dependence."
Figure 5,5A,How does evidence vary across observations and routes?,4133,Output/4133/figures/4133_observation_route_matrix.png,ready_source,main,Use as the anchor heterogeneity panel.,Heterogeneity is structured enough to map explicitly.,Do not turn route scores into a predictive classifier.
Figure 5,5B,Are descriptive metadata associations visible?,4133,Output/4133/figures/4133_t1_effect_vs_mean_track_length.png,ready_source,main_with_descriptive_label,Choose track length or swarm size panel; place the other in supplement if needed.,Some small-n descriptive associations are visible and sensitivity-audited.,Do not write causal metadata or recording-condition explanations.
Figure 5,5C,Which observations define the strongest positive and failure cases?,4133,Output/4133/observation_classes.csv,needs_assembly,main_or_supplement,Build a compact exemplar panel only if it does not hide all-19 heterogeneity.,Examples illustrate classes already defined by all-19 tables.,Do not let examples substitute for the all-19 result.
