figure_id,panel_id,panel_question,source_node,source_artifact,source_status,recommended_role,4134_action,allowed_claim,boundary_guard,source_exists,source_size_bytes,sample_scope,primary_metric_or_content,baseline_or_null,final_panel_package_artifact,ready_for_4134
Figure 1,1A,What data are being reduced?,raw data / 4133,Output/4133/raw_metadata_by_ob.csv,needs_assembly,main,Select one representative 3D trajectory snapshot and label it as data orientation only.,The dataset consists of 3D individual trajectories in laboratory midge swarms.,"Do not infer mechanism, interaction, or recording-condition causality from the snapshot.",True,3039,representative raw snapshot from Ob2; all-19 metadata context,3D positions from one frame; dataset metadata from raw columns 0 and 4,none; descriptive data orientation,Output/4134/figures/4134_figure1_data_t1_definition.png,yes
Figure 1,1B,What is removed by global/local affine reduction?,4130,Output/4130/definition_dictionary.csv,concept_panel_to_build,main,"Draw a compact schematic distinguishing global affine, local affine, and residual components.",T1 is interpreted only after defined affine components are subtracted.,Do not present the schematic as a fitted physical model.,True,3329,definition-level concept panel,global affine / local affine / residual separation,"definition schematic, no fitted mechanism",Output/4134/figures/4134_figure1_data_t1_definition.png,yes
Figure 1,1C,What is the frozen T1 observable?,4130 / 4088,Output/4130/definition_dictionary.csv,concept_panel_to_build,main,Convert the frozen T1 definition into a visual equation/flow panel.,T1 is the transition-linked local tangential non-affine residual used in 413x.,Do not rename or redefine the target in 4134.,True,3329,definition-level concept panel,T1 frozen definition,"definition schematic, no fitted mechanism",Output/4134/figures/4134_figure1_data_t1_definition.png,yes
Figure 1,1D,How does the event-conditioned time profile look?,4131,Output/4131/positive_phenomenon_atlas.csv,needs_assembly,main,"Build one example trace with clear labels: event, pre window, matched control/null.","The time trace illustrates the measurement pipeline, not a universal temporal law.",Avoid choosing an example that hides failure observations.,True,3288,4085 aggregate event-aligned profile; 14 tested observations,median real-minus-null aligned z for all_tangential,4085 event-aligned null profile,Output/4134/figures/4134_figure1_data_t1_definition.png,yes
Figure 2,2A,Does T1 survive local affine subtraction across all observations?,4131 / 4133,Output/4131/observation_positive_coverage_matrix.csv,needs_assembly,main,"Render an all-19 forest/strip panel with Ob1, Ob3, Ob6, and Ob8 retained.",T1 survival is common in most observations.,Do not write universal survival or omit stable failures.,True,6550,all 19 observations,408x_T1_effect and local-affine survival flags,local affine residualization and event/non-event comparison,Output/4134/figures/4134_figure2_t1_survival_across_observations.png,yes
Figure 2,2B,Is the survivor class stable to nearby scale and lag choices?,4131,Output/4131/figures/4131_observation_coverage_matrix.png,ready_source,main,"Reuse or redraw as a publication heatmap, preserving all-19 context.",Scale/lag robustness is high inside the survivor class.,Do not generalize survivor-only robustness to all 19 observations.,True,97995,all 19 observations plus survivor-class robustness,"T1 any-k, both-k, scale/lag, diffuse, history flags",nearby k and lag sensitivity within all-19 context,Output/4134/figures/4134_figure2_t1_survival_across_observations.png,yes
Figure 2,2C,"Which observations are robust, fragile, or failures?",4133,Output/4133/observation_classes.csv,needs_assembly,main,Draw the observation class strip beside the all-19 evidence panel.,The positive result has explicit observation-level boundaries.,Do not treat failure classes as artifacts unless independently verified.,True,3478,all 19 observations,observation_class counts,predefined observation classes from 4133,Output/4134/figures/4134_figure2_t1_survival_across_observations.png,yes
Figure 3,3A,What spatial/activity form is most stable?,4131,Output/4131/figures/4131_spatial_phase_positive_summary.png,ready_source,main,Show all_tangential support beside edge-core support.,Diffuse tangential activity is the strongest repeated form.,Do not write edge/core contrast as a universal trigger.,True,95407,4131 positive atlas; node-specific denominators,positive support fractions from 4131,node-specific event/control or survivor-subset gates,Output/4134/figures/4134_figure3_spatial_timing_structure.png,yes
Figure 3,3B,Is near-pre timing stable?,4131,Output/4131/figures/4131_spatial_phase_positive_summary.png,ready_source,main,"Include near-pre as moderate timing evidence, not as the central claim.",Near-pre timing appears in part of the tested survivor subset.,Do not write a sharp universal precursor.,True,95407,4085 aggregate profiles; 14 tested observations,event-aligned real-minus-null profile,4085 aggregate event-aligned null,Output/4134/figures/4134_figure3_spatial_timing_structure.png,yes
Figure 3,3C,Is there a universal signed direction law?,4132 / 4086,Output/4132/negative_boundary_atlas.csv,ready_table_source,supplement_or_small_boundary_panel,Use only as a compact boundary annotation if the main figure has space.,Signed structure is heterogeneous across observations.,"Do not write universal low-to-high, high-to-low, or mirror law.",True,5968,4086/4132 signed boundary classes,signed class counts / boundary status,signed event-type decomposition,Output/4134/figures/4134_figure3_spatial_timing_structure.png,yes
Figure 4,4A,"Does C,dCdt,R provide a stable low-dimensional moment closure?",4132 / 4090,Output/4132/figures/4132_moment_closure_negative_metrics.png,ready_source,main,Use as the first mechanism-boundary panel.,"The tested C,dCdt,R first/second moment closure is not stably supported.",Do not write that stochastic dynamics or all state dependence are impossible.,True,53331,4090 grouped OOS moment-closure metrics; 19 observations,median incremental R2 and real-minus-shift metrics,"radius-only model and shifted C,dCdt null",Output/4134/figures/4134_figure4_reduction_boundaries.png,yes
