mechanism_class,node,question,observable,baseline_or_null,main_result,robustness,gate_result,claim_strength,current_status,interpretation,next_action,provenance
global_affine_geometry,4001,Does the 3045c velocity signal survive translation plus global affine deformation?,"affine-residual velocity variables: speed_rms, velocity_cov_trace, mean_speed, tangential_speed_mean",translation + global affine fit; shifted-event null,4/4 direction-surviving variables remain in affine residual; median affine_resid/raw abs ratio = 0.9554; n_ob=19; n_events=1471,"full 19-observation original 4001 screen, but not yet frozen against local-affine or independent replication gates",pass,supported_descriptive,surviving_target_candidate,Ordinary global affine geometry is insufficient for the transition-aligned velocity signal.,"Freeze target residual metrics in 4072, freeze null hierarchy in 4073, then replicate in 4071 and test local-affine closure in 408x.",Output/4001/4001_summary.md; Output/4001/tables/egrt_decision_summary.csv
residual_spatial_structure,4002A,What kind of affine-residual velocity structure remains?,"residual intensity, edge/core, radial, tangential residual families",4001 affine residual; shifted-event null,"6 variables survive: 2 residual intensity, 2 edge/core, 1 radial, 1 tangential; residual order does not survive",full 19-observation screen under shifted-event nulls,pass,supported_descriptive,residual_has_spatial_structure,The residual is not simply global alignment; it includes spatial redistribution and intensity structure.,Use 4072 taxonomy to restrict these families to primary metrics before new tests.,Output/4002A/4002A_summary.md; Output/4002A/tables/egrt_decision_summary.csv
edge_core_timing_mechanism,4002B,Does edge/core residual redistribution appear in clear timing windows?,"pretrigger, event/post, and follow-window edge/core residual variables",timing-window shifted-event null,n_pretrigger_variables=0; n_event_or_post_variables=0; n_follow_variables=0,timing robustness audit after 4002A,fail,not_supported,excluded_as_timing_trigger,Edge/core residual redistribution is not supported as a timing-robust trigger or event-window mechanism.,Keep only as broad descriptive contrast unless a new event-free/timing-independent definition appears.,Output/4002B/4002B_summary.md; Output/4002B/tables/egrt_decision_summary.csv
local_pair_cumulant,4010,Do local neighbor residual correlations survive a shell-conditioned one-fish baseline?,"kNN residual alignment and speed/radial/tangential covariance, observed and empirical-cumulant forms",one-fish conditional baseline; shifted-event null,0 empirical-cumulant survivors; 0 observed-pair survivors; 0 one-fish-baseline survivors over 19 observations and 1471 events,full 19-observation cumulant/factorization audit,fail,not_supported,local_knn_cumulant_route_paused,The transition-linked residual signal is not currently explained by simple local observed-pair or cumulant variables.,Do not reopen local-pair cumulants without a new residual target or geometry-matched theoretical reason.,Output/4010/4010_summary.md; Output/4010/tables/egrt_decision_summary.csv
one_individual_residual_redistribution,4020/4020B,Do one-fish residual states redistribute consistently across core/mid/edge?,"one-fish shell residual speed, radial/tangential state, and high-residual fish location variables",single-observation shifted-event nulls,Ob1 passes with 2 variables; Ob2 passes with 3 variables; Ob3 passes with 0 variables; surviving variables differ between Ob1 and Ob2,selective single-observation replication only; cross-observation variable identity unstable,boundary,suggestive_unstable,bounded_dataset_heterogeneous_signal,One-individual residual redistribution may exist in some observations but is not stable enough to be a main mechanism.,Do not expand to all 19 observations unless 4072 freezes a specific target family with a clear reason.,Output/4020/4020_summary.md; Output/4020B/4020B_summary.md
coarse_residual_state_transition,4030,Do coarse residual high/low bins modulate compact-state transition probability?,high/low residual variable bins versus compact-state up/down transition probabilities,shifted-bin null in Ob3 pilot,0 surviving variables; top transition modulation gap = 0.0202 for top_tangential_radius_mean_z but real-minus-null = -0.002577; p=0.6154,single-observation Ob3 pilot following mixed 4020/4020B result,fail,not_supported_pilot,coarse_state_route_not_rescued,Simple residual high/low bins do not rescue the unstable one-fish redistribution branch.,Do not use coarse residual bins as the next mechanism line; any stochastic line should restart from 4090 mean-vs-variance after metric freeze.,Output/4030/Ob3/4030_summary.md; Output/4030/Ob3/tables/egrt_decision_summary.csv
interaction_history_representation,4051,Can transition-centered trajectories be converted into nondegenerate multilayer interaction-history graphs?,"event graph layers, nodes, identity coverage, edge-type coverage","construction smoke test, no mechanism null",28/28 Ob1 events built; median 21 layers; median 1942 nodes; identity coverage = 0.960; 3 non-identity edge types,Ob1 construction feasibility only,method_pass,method_supported,representation_viable_not_mechanism,"Graph history is a usable representation, but construction success alone is not evidence for interaction mechanism.",Keep graph tools for later 411x only after target residual metrics are frozen.,Output/4051/4051_summary.md; idea/4xxx_EGRT_route_map.md
shifted_event_graph_signal,4052,Do real transition-window graphs differ from shifted-event null graphs?,persistent pair count and residual-speed coactivation graph metrics,shifted-event graph nulls,2 metrics pass: persistent_pair_count and edges_residual_speed_coactivation; raw graph size and kNN count do not pass,Ob1 pilot with 28 real events and shifted-event nulls,boundary_pass_to_reducibility,suggestive_screen,graph_signal_without_mechanism,"Some graph signals exceed shifted-event nulls, but this supports reducibility testing, not pair-rule claims.",Do not interpret as interaction until 411x tests graph-level stability beyond geometry and metric freeze.,Output/4052/4052_summary.md; idea/4xxx_EGRT_route_map.md
graph_core_reducibility,4053,Does a residual graph core remain after cutting proximity scaffold and one-frame dyads?,"core2/core3 residual alignment, speed, edge, and pair fractions",shifted-event graph nulls after cutting,1 passing metric: core2_alignment_pair_fraction_of_alignment_pairs; no strict core3 metric passes,Ob1 pilot; normalized loose-core signal only,boundary,boundary,strict_pair_core_not_supported,"A loose residual-alignment core appears, but not enough to justify motif or stable pair-core claims.",Route only to threshold/density robustness; otherwise pause pair-core mechanism.,Output/4053/4053_summary.md; Output/4053/tables/egrt_decision_summary.csv
graph_core_threshold_density,4053b,Does the loose core2 residual-alignment signal survive threshold and density controls?,"core2_alignment_pair_fraction_of_alignment_pairs at q=0.80,0.85,0.90",shifted null and per-layer density-preserving alignment shuffle,q=0.85 passes shifted and density-preserving nulls; q=0.80 and q=0.90 fail,threshold-sensitive Ob1 pilot,boundary,threshold_sensitive_boundary,pair_core_mechanism_paused,The graph-core signal is too threshold-sensitive for motif claims.,Do not route to motif classification; keep graph as later network-level representation only.,Output/4053b/4053b_summary.md; Output/4053b/tables/egrt_decision_summary.csv
