status,path,lineno,line
pass_bounded_context,mypaper2/Latex/00_abstract.tex,24,"or second-moment prediction, and true transition timestamps did not add robust"
pass_bounded_context,mypaper2/Latex/00_abstract.tex,26,informative in some observations but did not define a universal memory rule.
review,mypaper2/Latex/01_introduction_v2.tex,12,are expected even in the absence of a new behavioral mechanism. Translation of
pass_bounded_context,mypaper2/Latex/01_introduction_v2.tex,93,This paper therefore does not start from a proposed complete mechanism. It
review,mypaper2/Latex/01_introduction_v2.tex,139,"universal mechanism for midge swarming, nor do we reject existing stochastic or"
review,mypaper2/Latex/01_introduction_v2.tex,148,than a completed mechanism model.
pass_bounded_context,mypaper2/Latex/Part2/02_data_trajectory_dataset.tex,13,and they are not used as causal explanations unless independently verified.
review,mypaper2/Latex/Part2/02_data_trajectory_dataset.tex,27,a fitted physical mechanism.}
pass_bounded_context,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex,23,analyses rather than causal or online prediction analyses.
review,mypaper2/Latex/Part4/04_results_t1_survival_v2.tex,38,driven by unstable local affine fits. Across all 38 observation-scale
review,mypaper2/Latex/Part4/04_results_diffuse_phenotype_v2.tex,27,"sharp event precursor, stable edge trigger, or global signed law."
pass_bounded_context,mypaper2/Latex/Part4/04_results_diffuse_phenotype_v2.tex,37,"moderate timing description, not evidence for a causal online precursor."
pass_bounded_context,mypaper2/Latex/Part4/04_results_failed_reductions_v2.tex,9,but did not become a universal sign/order rule. Propagation remained outside
pass_bounded_context,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,9,"sensitivity-audited, but it is not a causal recording-condition explanation.}"
pass_bounded_context,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,17,"observation-specific way, but it did not define a universal memory rule."
review,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,42,"Local non-affine survival & 14/19 both-scale and 15/19 any-scale survival; limited-resolution pseudo-event calibration $p=0.0099$ at $B=100$ & T1 is common after local affine subtraction & T1 is universal, causal, or formally calibrated at high $B$ \\"
review,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,46,Diffuse tangential form & 13/14 diffuse all-tangential support & Diffuse tangential activity is the strongest repeated form & A universal edge trigger or signed force is identified \\
review,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,49,"Recent history & 14/19 above median shuffle, 6/19 above q95 & History effects are observation-specific & A universal memory rule is proven \\"
pass_bounded_context,mypaper2/Latex/Part4/04_results_empirical_boundary_v2.tex,50,Propagation & Confirmatory route not entered & Propagation remains open & No propagation exists \\
pass_bounded_context,mypaper2/Latex/Part5/05_discussion_interpretive_value_v2.tex,12,"rules. It is not a raw trajectory feature, and it is not a complete mechanism."
review,mypaper2/Latex/Part5/05_discussion_context_transfer_v2.tex,24,"deformation, or interaction-driven residuals. Local affine subtraction may"
pass_bounded_context,mypaper2/Latex/Part5/05_discussion_limitations_future_v2.tex,5,observation-boundary claims but not a universal mechanism claim. These
pass_bounded_context,mypaper2/Latex/Part5/05_discussion_limitations_future_v2.tex,17,dynamics. Propagation was not tested in a confirmatory route and therefore
pass_bounded_context,mypaper2/Latex/Part5/05_discussion_limitations_future_v2.tex,31,numerical QC result rather than a biological mechanism result.
pass_bounded_context,mypaper2/Latex/Part5/05_conclusion_v2.tex,5,midge-swarm trajectories. The result is not a complete mechanism: the residual
