definition,paper_location,code_location,config_location,actual_numeric_value,frozen,notes
dataset,mypaper2/Latex/Part2/02_data_trajectory_dataset.tex:pattern_not_found,Output/4081c/ob_route_a_classification.csv,Output/4081c/decision.json,Ob1-Ob19; n_observations=19,yes,"Observation identity is the grouping/replication unit; these are recordings, not independent biological populations."
sampling rate,mypaper2/00_review/007.md:168,Output/3045/tables/transition_events.csv,Output/3045/tables/transition_events.csv,100 Hz inferred from transition-event dt=0.01 s,yes,Computed from existing transition event dt column; no new raw-data preprocessing.
primary k values,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex:8,Experiment/run_4081c_full_observation_adjudication.py:430,Output/4081c/decision.json,"8,10",yes,Main survival count uses k=8 and k=10.
default lag,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex:7,Experiment/run_4081c_full_observation_adjudication.py:431,Output/4081c/decision.json,0.1,yes,Finite-lag displacement baseline.
neighbor eligibility,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex:5,Experiment/run_4081_global_vs_local_geometry_ladder.py:210,Experiment/run_4081c_full_observation_adjudication.py:433,neighbor present at t and t+lag; retained_neighbors >= 4; max sampled focals/frame=24,yes,Focal samples below four retained neighbors are skipped.
affine solver,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex:11,Experiment/run_4081_global_vs_local_geometry_ladder.py:229,Experiment/run_4081_global_vs_local_geometry_ladder.py,"SVD rank screen followed by np.linalg.lstsq(A,B,rcond=None)",yes,No weighting and no post-hoc fit cutoff in current T1 definition.
rank handling,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex:6,Experiment/run_4081_global_vs_local_geometry_ladder.py:227,Experiment/run_4081_global_vs_local_geometry_ladder.py,skip if SVD returns <3 singular values or smallest singular value <= 1e-12,yes,4143 should quantify rank-sufficiency rather than change this rule.
condition-number handling,mypaper2/Latex/Part5/05_discussion_limitations_future_v2.tex:8,Experiment/run_4081_global_vs_local_geometry_ladder.py:226,not a current T1 cutoff,not thresholded in 4081/4081c; only smallest-singular-value rank screen is used,yes-current-definition,"This is a technical-defense gap, not a manuscript-code mismatch. Route to 4143."
initial robust-z,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex:18,Experiment/run_4081_global_vs_local_geometry_ladder.py:308,Experiment/run_4081_global_vs_local_geometry_ladder.py,within-observation robust-z,yes,Applied before detrending in the local metric residualization.
slow detrending,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex:19,Experiment/run_4081_global_vs_local_geometry_ladder.py:311,Experiment/run_4081_global_vs_local_geometry_ladder.py:303,"1.0 s centered rolling mean, min_periods=max(3, win//5), interpolate both directions",yes,4142 will challenge this with no-detrend and past-only variants.
